Picture Count,Address,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Total Full Baths,Total Half Baths,List Date,Closing Date,Days on Market,Cordova,Port Byron,Rapids City
17,23638 77TH Avenue Court North,Port Byron,61275,409000,395000,14000,0.03423,196,2018,4,3,2007,3153,2,1,42121,42170,49,0,1,0
49,4 EAGLE POINTE Pass,Rapids City,61272,400000,395000,5000,0.01250,140,2830,5,4,1994,4690,3,1,44258,44377,119,0,0,1
24,1704 Turkey Ridge Court,Port Byron,61275,399900,397900,2000,0.00500,159,2501,4,4,2004,4086,3,1,41663,41781,118,0,1,0
31,22607 66TH Avenue North,Port Byron,61275,400000,400000,0,0.00000,223,1792,4,3,2004,3192,3,0,44998,45093,95,0,1,0
24,4 EAGLE POINTE Circle,Rapids City,61278,439900,400000,39900,0.09070,127,3151,5,5,1995,4084,4,1,42503,42636,133,0,0,1
49,1615 PARKWAY Drive,Port Byron,61275,375000,400000,-25000,-0.06667,129,3110,4,4,1994,4585,4,0,44337,44375,38,0,1,0
24,1104 WHITE OAK Court,Port Byron,61275,414900,400000,14900,0.03591,141,2845,3,3,2003,2845,2,1,42338,42452,114,0,1,0
20,1012 S HIGH Street,Port Byron,61275,400000,402000,-2000,-0.00500,149,2690,4,3,1990,3845,2,1,44692,44728,36,0,1,0
54,20726 41ST Avenue North,Port Byron,61275-9591,408900,405000,3900,0.00954,243,1667,3,3,1980,2779,2,1,45148,45205,57,0,1,0
24,3701 214TH Street North,Port Byron,61275,435000,410000,25000,0.05747,106,3882,4,3,2008,3882,2,1,41817,41911,94,0,1,0
1,7209 N 221ST Street,Port Byron,61275,412000,412000,0,0.00000,229,1801,3,4,1993,2301,3,1,44635,44713,78,0,1,0
1,1914 RIDGEFIELD Drive,Port Byron,61275,412500,412500,0,0.00000,111,3726,5,4,2008,3726,3,1,41463,41463,0,0,1,0
49,2121 RIDGEFIELD Drive,Port Byron,61275,409900,414000,-4100,-0.01000,176,2352,5,4,2007,3252,3,1,44652,44712,60,0,1,0
24,2114 WOODGATE Circle,Port Byron,61275,419900,419900,0,0.00000,119,3532,6,5,1995,5069,4,1,43529,43717,188,0,1,0
21,3701 214TH Street North,Port Byron,61275,435000,420000,15000,0.03448,108,3882,4,3,2008,3882,2,1,41138,41228,90,0,1,0
37,1756 1ST Avenue,Rapids City,61278,449000,420000,29000,0.06459,108,3898,4,4,1850,3898,4,0,44141,44211,70,0,0,1
42,2 EAGLE POINTE Lane,Rapids City,61278,424900,424000,900,0.00212,142,2994,5,5,2000,4694,4,1,44456,44524,68,0,0,1
51,1202 LAKEVIEW Drive,Port Byron,61275,449900,425000,24900,0.05535,148,2864,6,4,1997,4230,3,1,44880,45044,164,0,1,0
32,1104 WHITE OAK Court,Port Byron,61275,445000,425000,20000,0.04494,149,2845,3,3,2003,2845,2,1,44385,44438,53,0,1,0
36,1321 N SHORE Drive,Port Byron,61275,449000,425000,24000,0.05345,136,3124,3,4,1979,3124,3,1,44329,44428,99,0,1,0
24,409 S HIGH Street,Port Byron,61275,449900,425000,24900,0.05535,175,2424,4,5,1996,4024,4,1,42629,42719,90,0,1,0
40,21904 RIVER Road North,Cordova,61242,439900,432500,7400,0.01682,149,2899,4,3,1995,2899,3,0,43983,44148,165,1,0,0
24,12224 Route 84 N,Port Byron,61275,450000,450000,0,0.00000,196,2292,4,4,2001,3552,3,1,42502,42585,83,0,1,0
